Composition;M
N6H10F2A2 || N6H8F4G2 || N6H9F3A1G1;3734.34461
N8H11G1;3735.339858
N8H12F1;3736.360259
N7H7A4;3741.34053
N7H6F3A2G1 || N7H7F2A3;3742.360931
N9H7F1G2 || N9H8A1G1 || N7H6F5A1G1;3743.356179
N7H6F5A1G1;3743.381332
N9H8F2G1 || N9H9F1A1;3744.37658
N9H9F3;3745.396981
N6H7F1G4 || N6H8A1G3;3748.298722
N6H10A2G1 || N6H8F2G3 || N6H9F1A1G2;3749.319123
N6H10F2A1G1 || N6H11F1A2 || N6H9F3G2;3750.339524
N8H13;3752.355173
N10H6F5;3754.433703
N7H7A3G1;3757.335444
N7H6F3A1G2 || N7H7F2A2G1 || N7H8F1A3;3758.355845
N9H8G2;3759.351093
N7H6F5G2 || N7H7F4A1G1 || N7H8F3A2;3759.376246
N9H10A1 || N9H9F1G1;3760.371494
N7H8F5A1;3760.396647
N9H10F2;3761.391895
N6H8G4;3764.293636
N6H10A1G2 || N6H9F1G3;3765.314037
N6H10F2G2 || N6H11F1A1G1;3766.334438
N10H7F2A1;3769.408216
N10H7F4;3770.428617
N7H7A2G2;3773.330358
N7H6F3G3 || N7H7F2A1G2 || N7H8F1A2G1 || N7H9A3;3774.350759
N7H7F4G2 || N7H8F3A1G1 || N7H9F2A2;3775.37116
N9H10G1;3776.366408
N7H8F5G1 || N7H9F4A1;3776.391561
N9H11F1;3777.386809
N6H10G3;3781.308951
N6H11F1G2;3782.329352
N8H6F4A2;3784.407882
N10H7F2G1 || N10H8F1A1;3785.40313
N10H8F3;3786.423531
N7H7A1G3;3789.325272
N7H7F2G3 || N7H8F1A1G2 || N7H9A2G1;3790.345673
N7H10F1A2 || N7H8F3G2 || N7H9F2A1G1;3791.366074
N7H10F3A1 || N7H9F4G1;3792.386475
N9H12;3793.381723
N8H7F1A3;3799.382395
N8H6F4A1G1 || N8H7F3A2;3800.402796
N10H8F1G1 || N10H9A1;3801.398044
N8H7F5A1;3801.423197
N10H9F2;3802.418445
N7H7G4;3805.320186
N7H8F1G3 || N7H9A1G2;3806.340587
N7H10F1A1G1 || N7H11A2 || N7H9F2G2;3807.360988
N7H10F3G1 || N7H11F2A1;3808.381389
N8H7F1A2G1 || N8H8A3;3815.377309
N6H6F5A3;3815.402462
N8H6F4G2 || N8H7F3A1G1 || N8H8F2A2;3816.39771
N10H9G1;3817.392958
N8H7F5G1 || N8H8F4A1;3817.418111
N10H10F1;3818.413359
N7H9G3;3822.335501
N7H10F1G2 || N7H11A1G1;3823.355902
N7H11F2G1 || N7H12F1A1;3824.376303
N11H7F3;3827.450081
N6H7F2A4;3830.376975
N8H7F1A1G2 || N8H8A2G1 || N6H6F5A2G1 || N6H7F4A3;3831.372223
N6H6F5A2G1;3831.397376
N8H7F3G2 || N8H8F2A1G1 || N8H9F1A2;3832.392624
N8H8F4G1 || N8H9F3A1;3833.413025
N10H11;3834.408273
N8H9F5;3834.433426
N7H11G2;3839.350816
N7H12F1G1;3840.371217
N11H8A1;3842.424594
N9H6F5A1;3842.449747
N11H8F2;3843.444995
N6H7F2A3G1 || N6H8F1A4;3846.371889
N8H7F1G3 || N8H8A1G2 || N6H6F5A1G2 || N6H7F4A2G1 || N6H8F3A3;3847.367137
N6H6F5A1G2;3847.39229
N8H10A2 || N8H8F2G2 || N8H9F1A1G1;3848.387538
N8H10F2A1 || N8H9F3G1;3849.407939
N8H10F4;3850.42834
N9H7F2A2;3857.42426
N11H8G1;3858.419508
N9H6F5G1 || N9H7F4A1;3858.444661
N11H9F1;3859.439909
N6H7F2A2G2 || N6H8F1A3G1 || N6H9A4;3862.366803
N8H8G3;3863.362051
N6H6F5G3 || N6H7F4A1G2 || N6H8F3A2G1 || N6H9F2A3;3863.387204
N8H10A1G1 || N8H9F1G2;3864.382452
N8H10F2G1 || N8H11F1A1;3865.402853
N8H11F3;3866.423254
N7H6F4A3;3872.423926
N9H7F2A1G1 || N9H8F1A2;3873.419174
N9H7F4G1 || N9H8F3A1;3874.439575
N11H10;3875.434823
N9H8F5;3875.459976
N6H7F2A1G3 || N6H8F1A2G2 || N6H9A3G1;3878.361717
N6H10F1A3 || N6H7F4G3 || N6H8F3A1G2 || N6H9F2A2G1;3879.382118
N8H10G2;3880.377366
N8H11F1G1 || N8H12A1;3881.397767
N8H12F2;3882.418168
N7H7F1A4;3887.398439
N7H6F4A2G1 || N7H7F3A3;3888.41884
N9H7F2G2 || N9H8F1A1G1 || N9H9A2;3889.414088
N7H7F5A2;3889.439241
N9H8F3G1 || N9H9F2A1;3890.434489
N9H9F4;3891.45489
N6H7F2G4 || N6H8F1A1G3 || N6H9A2G2;3894.356631
N6H10F1A2G1 || N6H11A3 || N6H8F3G3 || N6H9F2A1G2;3895.377032
N8H12G1;3897.392681
N8H13F1;3898.413082
N7H7F1A3G1 || N7H8A4;3903.393353
N7H6F4A1G2 || N7H7F3A2G1 || N7H8F2A3;3904.413754
N9H8F1G2 || N9H9A1G1 || N7H7F5A1G1 || N7H8F4A2;3905.409002
N7H7F5A1G1;3905.434155
N9H10F1A1 || N9H9F2G1;3906.429403
N9H10F3;3907.449804
N6H8F1G4 || N6H9A1G3;3910.351545
N6H10F1A1G2 || N6H11A2G1 || N6H9F2G3;3911.371946
N10H7F3A1;3915.466125
N10H7F5;3916.486526
N7H7F1A2G2 || N7H8A3G1;3919.388267
N7H6F4G3 || N7H7F3A1G2 || N7H8F2A2G1 || N7H9F1A3;3920.408668
N9H9G2;3921.403916
N7H7F5G2 || N7H8F4A1G1 || N7H9F3A2;3921.429069
N9H10F1G1 || N9H11A1;3922.424317
N9H11F2;3923.444718
N6H9G4;3926.346459
N6H10F1G3 || N6H11A1G2;3927.36686
N10H8A2;3930.440638
N8H6F5A2;3930.465791
N10H7F3G1 || N10H8F2A1;3931.461039
N10H8F4;3932.48144
N7H7F1A1G3 || N7H8A2G2;3935.383181
N7H10A3 || N7H7F3G3 || N7H8F2A1G2 || N7H9F1A2G1;3936.403582
N7H10F2A2 || N7H8F4G2 || N7H9F3A1G1;3937.423983
N9H11G1;3938.419231
N9H12F1;3939.439632
N6H11G3;3943.361774
N8H7F2A3;3945.440304
N10H8A1G1;3946.435552
N8H6F5A1G1 || N8H7F4A2;3946.460705
N10H8F2G1 || N10H9F1A1;3947.455953
N10H9F3;3948.476354
N7H7F1G4 || N7H8A1G3;3951.378095
N7H10A2G1 || N7H8F2G3 || N7H9F1A1G2;3952.398496
N7H10F2A1G1 || N7H11F1A2 || N7H9F3G2;3953.418897
N9H13;3955.434546
N8H7F2A2G1 || N8H8F1A3;3961.435218
N10H8G2;3962.430466
N8H6F5G2 || N8H7F4A1G1 || N8H8F3A2;3962.455619
N10H10A1 || N10H9F1G1;3963.450867
N8H8F5A1;3963.47602
N10H10F2;3964.471268
N7H8G4;3967.373009
N7H10A1G2 || N7H9F1G3;3968.39341
N7H10F2G2 || N7H11F1A1G1 || N7H12A2;3969.413811
N11H7F4;3973.50799
N6H7F3A4;3976.434884
N8H7F2A1G2 || N8H8F1A2G1 || N8H9A3;3977.430132
N6H7F5A3;3977.455285
N8H7F4G2 || N8H8F3A1G1 || N8H9F2A2;3978.450533
N10H10G1;3979.445781
N8H8F5G1 || N8H9F4A1;3979.470934
N10H11F1;3980.466182
N7H10G3;3984.388324
N7H11F1G2 || N7H12A1G1;3985.408725
N11H8F1A1;3988.482503
N11H8F3;3989.502904
N6H7F3A3G1 || N6H8F2A4;3992.429798
N8H7F2G3 || N8H8F1A1G2 || N8H9A2G1;3993.425046
N6H7F5A2G1 || N6H8F4A3;3993.450199
N8H10F1A2 || N8H8F3G2 || N8H9F2A1G1;3994.445447
N8H10F3A1 || N8H9F4G1;3995.465848
N10H12;3996.461096
N7H12G2;4001.403639
N9H7F3A2;4003.482169
N11H8F1G1 || N11H9A1;4004.477417
N9H7F5A1;4004.50257
N11H9F2;4005.497818
N6H7F3A2G2 || N6H8F2A3G1 || N6H9F1A4;4008.424712
N8H8F1G3 || N8H9A1G2;4009.41996
N6H7F5A1G2 || N6H8F4A2G1 || N6H9F3A3;4009.445113
N8H10F1A1G1 || N8H11A2 || N8H9F2G2;4010.440361
N8H10F3G1 || N8H11F2A1;4011.460762
N9H8A3;4018.456682
N7H6F5A3;4018.481835
N9H7F3A1G1 || N9H8F2A2;4019.477083
N11H9G1;4020.472331
N9H7F5G1 || N9H8F4A1;4020.497484
