Composition;M
N6H4F2A1;2470.932255
N6H4F4;2471.952656
N5H7G1;2477.890447
N5H8F1;2478.910848
N6H4F2G1 || N6H5F1A1;2486.927169
N6H5F3;2487.94757
N5H9;2494.905762
N4H4F3A2;2501.926835
N6H5F1G1 || N6H6A1;2502.922083
N6H6F2;2503.942484
N7H3F4;2512.979206
N4H4F3A1G1 || N4H5F2A2;2517.921749
N6H6G1;2518.916997
N6H7F1;2519.937398
N7H4F1A1;2527.953719
N7H4F3;2528.97412
N4H4F3G2 || N4H5F2A1G1 || N4H6F1A2;2533.916663
N6H8;2535.932312
N7H4F1G1 || N7H5A1;2543.948633
N7H5F2;2544.969034
N4H5F2G2 || N4H6F1A1G1 || N4H7A2;2549.911577
N4H7F2A1;2550.931978
N7H5G1;2559.943547
N5H4F4A1;2559.9687
N7H6F1;2560.963948
N4H6F1G2 || N4H7A1G1;2565.906491
N4H7F2G1 || N4H8F1A1;2566.926892
N5H5F1A2;2574.943213
N5H4F4G1 || N5H5F3A1;2575.963614
N7H7;2576.958862
N4H7G2;2581.901405
N4H8F1G1;2582.921806
N8H4F2;2585.995584
N5H5F1A1G1 || N5H6A2;2590.938127
N5H5F3G1 || N5H6F2A1;2591.958528
N5H6F4;2592.978929
N8H5F1;2601.990498
N5H5F1G2 || N5H6A1G1;2606.933041
N5H6F2G1 || N5H7F1A1;2607.953442
N5H7F3;2608.973843
N6H4F3A1;2616.990164
N8H6;2617.985412
N6H4F5;2618.010565
N5H6G2;2622.927955
N5H7F1G1 || N5H8A1;2623.948356
N5H8F2;2624.968757
N6H5A2;2631.964677
N6H4F3G1 || N6H5F2A1;2632.985078
N6H5F4;2634.005479
N5H8G1;2639.94327
N5H9F1;2640.963671
N6H5A1G1;2647.959591
N6H5F2G1 || N6H6F1A1;2648.979992
N6H6F3;2650.000393
N9H5;2659.011962
N7H3F5;2659.037115
N6H5G2;2663.954505
N4H5F3A2;2663.979658
N6H6F1G1 || N6H7A1;2664.974906
N6H7F2;2665.995307
N7H4F2A1;2674.011628
N7H4F4;2675.032029
N4H5F3A1G1 || N4H6F2A2;2679.974572
N6H7G1;2680.96982
N6H8F1;2681.990221
N7H4F2G1 || N7H5F1A1;2690.006542
N7H5F3;2691.026943
N4H5F3G2 || N4H6F2A1G1 || N4H7F1A2;2695.969486
N6H9;2697.985135
N7H5F1G1 || N7H6A1;2706.001456
N7H6F2;2707.021857
N4H6F2G2 || N4H7F1A1G1;2711.9644
N5H5F2A2;2721.001122
N7H6G1;2721.99637
N5H5F4A1;2722.021523
N7H7F1;2723.016771
N4H7F1G2;2727.959314
N8H4F3;2732.053493
N5H5F2A1G1 || N5H6F1A2;2736.996036
N5H5F4G1 || N5H6F3A1;2738.016437
N7H8;2739.011685
N8H5A1;2747.028006
N8H5F2;2748.048407
N5H5F2G2 || N5H6F1A1G1 || N5H7A2;2752.99095
N5H6F3G1 || N5H7F2A1;2754.011351
N8H5G1;2763.02292
N6H4F4A1;2763.048073
N8H6F1;2764.043321
N5H6F1G2 || N5H7A1G1;2768.985864
N5H7F2G1 || N5H8F1A1;2770.006265
N6H5F1A2;2778.022586
N6H4F4G1 || N6H5F3A1;2779.042987
N8H7;2780.038235
N6H5F5;2780.063388
N5H7G2;2784.980778
N5H8F1G1 || N5H9A1;2786.001179
N6H5F1A1G1 || N6H6A2;2794.0175
N6H5F3G1 || N6H6F2A1;2795.037901
N6H6F4;2796.058302
N5H9G1;2801.996093
N9H5F1;2805.069871
N6H5F1G2 || N6H6A1G1;2810.012414
N6H6F2G1 || N6H7F1A1;2811.032815
N6H7F3;2812.053216
N7H4F3A1;2820.069537
N9H6;2821.064785
N7H4F5;2821.089938
N6H6G2;2826.007328
N6H7F1G1 || N6H8A1;2827.027729
N6H8F2;2828.04813
N7H5A2;2835.04405
N7H4F3G1 || N7H5F2A1;2836.064451
N7H5F4;2837.084852
N6H8G1;2843.022643
N6H9F1;2844.043044
N7H5A1G1;2851.038964
N7H5F2G1 || N7H6F1A1;2852.059365
N7H6F3;2853.079766
